county,fips,court_id,judge_name,address,coa_districts,coa_local_districts,coa_has_local_overlap
Lee,48287,tx_ccc_48287,Frank J. Malinak,"200 S. Main, Room 107, Giddings 78942","[3, 15]",[3],False
Leon,48289,tx_ccc_48289,Byron Ryder,"P.O. Box 429, Centerville 75833","[10, 15]",[10],False
Liberty,48291,tx_ccc_48291,Jay Knight,"1923 Sam Houston, Room 201, Liberty 77575","[9, 15]",[9],False
Limestone,48293,tx_ccc_48293,Richard Duncan,"P.O. Box 469, Groesbeck 76642","[10, 15]",[10],False
Lipscomb,48295,tx_ccc_48295,Dori Roots,"P.O. Box 69, Lipscomb 79056","[7, 15]",[7],False
Live Oak,48297,tx_ccc_48297,James L. Liska,"P.O. Box 487, George West 78022","[13, 15]",[13],False
Llano,48299,tx_ccc_48299,Ron Cunningham,"801 Ford Street, Room 101, Llano 78643","[3, 15]",[3],False
Loving,48301,tx_ccc_48301,Skeet Jones,"P.O. Box 193, Mentone 79754","[8, 15]",[8],False
Lubbock,48303,tx_ccc_48303,"2/27/26, 1:11 AM County Judges","Curtis Parrish P.O. Box 10536, Lubbock 79408","[7, 15]",[7],False
Lynn,48305,tx_ccc_48305,Mike Braddock,"P.O. Box 1167, Tahoka 79373","[7, 15]",[7],False
Madison,48313,tx_ccc_48313,Clark Osborne,"103 W. Trinity, Ste. 113, Madisonville 77864","[10, 15]",[10],False
Marion,48315,tx_ccc_48315,Leward LaFleur,"119 West Lafayette St., Ste. 1, Jefferson 75657","[6, 15]",[6],False
Martin,48317,tx_ccc_48317,Bryan Cox,"Box 1330, Stanton 79782","[11, 15]",[11],False
Mason,48319,tx_ccc_48319,Sheree Hardin,"P.O. Box 1726, Mason 76856","[4, 15]",[4],False
Matagorda,48321,tx_ccc_48321,Bobby Seiferman,"1700 Seventh St., Room 301, Bay City 77414","[13, 15]",[13],False
Maverick,48323,tx_ccc_48323,Ramsey English Cantu,"500 Quarry St., Ste. 3, Eagle Pass 78852","[4, 15]",[4],False
Mcculloch,48307,tx_ccc_48307,Frank Trull,"199 Courthouse Sq., Rm 202, Brady 76825","[3, 15]",[3],False
Mclennan,48309,tx_ccc_48309,Scott Felton,"P.O. Box 1728, Waco 76703-1728","[10, 15]",[10],False
Mcmullen,48311,tx_ccc_48311,James E. Teal,"P.O. Box 237, Tilden 78072","[4, 15]",[4],False
Medina,48325,tx_ccc_48325,Keith A. Lutz,"1502 Ave K, Hondo 78861","[4, 15]",[4],False
Menard,48327,tx_ccc_48327,Brandon Corbin,"P.O. Box 1038, Menard 76859","[4, 15]",[4],False
Midland,48329,tx_ccc_48329,Terry Johnson,"500 N. Loraine St., 11th Floor, Midland 79701","[11, 15]",[11],False
